branch_name	branch_id	S_sub	N_sub	N_sitewise	branch_length	is_fg	is_mg
oligotrich	162	0.0000	0.0000		0.0000	Y	N
otolepis	163	0.0000	0.0000		0.0000	Y	N
ovalifoliu	164	0.0000	0.0000		0.0000	Y	N
Node120	165	0.0000	0.0000		0.0000	Y	N
Node119	166	0.0000	0.0000		0.0000	Y	N
Node118	167	0.0000	0.0000		0.0000	Y	N
Node117	168	0.0000	0.0000		0.0000	Y	N
palmyrense	169	0.0000	0.0000		0.0000	Y	N
Node41	170	1.0000	0.0000		0.0030	Y	N
papillatum	171	0.0000	0.0000		0.0000	Y	N
Node59	172	0.0000	0.0000		0.0000	Y	N
paulayanum	173	0.0000	0.0000		0.0000	Y	N
peregrinum	174	0.0000	0.0000		0.0000	Y	N
Node74	175	0.0000	0.0000		0.0000	Y	N
perezii	176	0.0000	0.0000		0.0000	Y	N
perfoliatu	177	1.0000	0.0000		0.0027	Y	N
Node51	178	0.0000	0.0000		0.0000	Y	N
pigadiense	179	0.0000	0.0000		0.0000	Y	N
Node137	180	0.0000	0.0000		0.0000	Y	N
Node136	181	0.0000	0.0000		0.0000	Y	N
Node135	182	0.0000	0.0000		0.0000	Y	N
platyphyll	183	0.0000	0.0000		0.0000	Y	N
plurisquam	184	0.0000	0.0008		0.0000	Y	N
preauxii	185	0.0000	0.0000		0.0000	Y	N
proliferum	186	0.0000	0.0000		0.0000	Y	N
pruinosum	187	0.0000	0.0000		0.0000	Y	N
pseudebusi	188	1.0000	0.0000		0.0024	Y	N
Node139	189	0.0000	0.0000		0.0000	Y	N
Node134	190	0.0000	0.0000		0.0000	Y	N
Node133	191	0.0000	0.0000		0.0000	Y	N
puberulum	192	0.0000	0.0000		0.0000	Y	N
Node91	193	0.0000	2.0000	I288M,S307A	0.0000	Y	N
purpuratum	194	0.0000	0.0000		0.0000	Y	N
Node73	195	2.9999	1.0004	Y332F	0.0081	Y	N
pycnanthum	196	0.0000	0.0000		0.0000	Y	N
Node37	197	1.0000	1.0012	E9Q	0.0029	Y	N
pylium	198	0.0000	0.0000		0.0000	Y	N
Node182	199	0.0000	0.0000		0.0000	Y	N
Node181	200	0.0000	0.0000		0.0000	Y	N
Node1	201	0.0000	0.0000		0.0000	Y	N
Node2	202	0.0000	0.0000		0.0000	Y	N
recticaule	203	0.0000	0.0000		0.0000	Y	N
Node111	204	0.0000	0.0000		0.0000	Y	N
redivivum	205	0.0000	1.0000	M366L	0.0000	Y	N
relicticum	206	0.0000	0.0000		0.0000	Y	N
Node84	207	0.0000	0.0000		0.0000	Y	N
Node83	208	0.0000	0.0000		0.0000	Y	N
remotispic	209	0.0000	0.0000		0.0000	Y	N
Node168	210	0.0000	0.0000		0.0000	Y	N
Node167	211	0.0000	0.0000		0.0000	Y	N
rhumile	212	0.0000	0.0000		0.0000	Y	N
rigualii	213	1.0000	1.0000	S74N	0.0012	Y	N
roridum	214	0.0000	0.0000		0.0000	Y	N
Node109	215	0.0000	0.0000		0.0000	Y	N
Node108	216	0.0000	0.0000		0.0000	Y	N
Node107	217	0.0000	0.0000		0.0000	Y	N
santapolen	218	1.0012	0.0000		0.0023	Y	N
Node141	219	0.0012	0.0000		0.0000	Y	N
Node132	220	0.0000	0.0000		0.0000	Y	N
Node131	221	0.0000	0.0000		0.0000	Y	N
saracinatu	222	0.0000	0.0000		0.0000	Y	N
Node169	223	0.0000	0.0000		0.0000	Y	N
sarcophyll	224	0.0000	0.0000		0.0000	Y	N
Node46	225	0.0000	0.0000		0.0000	Y	N
Node44	226	0.0000	0.0000		0.0000	Y	N
scabrum	227	1.0000	0.0000		0.0024	Y	N
Node166	228	0.0000	0.0000		0.0000	Y	N
Node165	229	0.0000	0.0000		0.0000	Y	N
Node3	230	0.0000	0.0000		0.0000	Y	N
Node4	231	0.0000	0.0000		0.0000	Y	N
scopulorum	232	0.0000	0.0000		0.0000	Y	N
sieberi	233	1.0000	0.0000		0.0000	Y	N
Node151	234	0.0000	0.0000		0.0000	Y	N
Node148	235	0.0000	0.0000		0.0000	Y	N
sinense	236	0.0000	0.0000		0.0000	Y	N
sinuatum	237	0.0000	0.0000		0.0000	Y	N
Node95	238	0.0000	0.0000		0.0000	Y	N
Node94	239	0.9981	0.9981	E319D	0.0026	Y	N
Node93	240	0.0020	0.0019		0.0000	Y	N
Node92	241	0.0000	0.0001		0.0000	Y	N
sokotranum	242	0.0000	0.0000		0.0000	Y	N
solandri	243	0.0000	0.0000		0.0000	Y	N
Node58	244	0.0000	0.0000		0.0000	Y	N
Node57	245	0.0000	0.0000		0.0000	Y	N
Node56	246	0.0000	0.0000		0.0000	Y	N
Node55	247	0.0000	1.9955	N74S,I204L	0.0046	Y	N
somalorum	248	0.0000	0.0000		0.0000	Y	N
Node47	249	0.0000	0.0000		0.0000	Y	N
Node43	250	1.0001	3.9207	N55S,N74S,D346E,S377A	0.0050	Y	N
sougiae	251	0.0000	0.0000		0.0000	Y	N
Node112	252	0.0011	0.0002		0.0000	Y	N
sp1	253	0.0000	0.0000		0.0000	Y	N
Node53	254	1.0000	0.0000		0.0027	Y	N
Node52	255	0.0000	0.0000		0.0000	Y	N
Node50	256	6.0001	1.0008	H261Y	0.0187	Y	N
sp2	257	0.0000	0.0000		0.0000	Y	N
Node130	258	0.0000	0.0000		0.0000	Y	N
spectabile	259	0.0000	0.0000		0.0000	Y	N
Node89	260	0.0000	0.0000		0.0000	Y	N
Node88	261	0.0000	0.0000		0.0000	Y	N
Node87	262	0.0000	0.0000		0.0000	Y	N
Node86	263	0.0000	0.0000		0.0000	Y	N
spreitzenh	264	0.0000	0.0000		0.0000	Y	N
Node115	265	0.0000	0.0000		0.0000	Y	N
Node114	266	0.0000	0.0000		0.0000	Y	N
Node113	267	0.0000	0.0000		0.0000	Y	N
stenotatum	268	0.0000	0.0000		0.0000	Y	N
Node106	269	0.0000	0.0000		0.0000	Y	N
Node105	270	0.0000	0.0000		0.0000	Y	N
Node104	271	8.0155	2.0003	T22S,E319D	0.0217	Y	N
subglabrum	272	0.0345	0.0002		0.0000	Y	N
Node146	273	0.9655	0.9999	S74N	0.0000	Y	N
Node145	274	0.0000	0.0000		0.0000	Y	N
Node144	275	0.0000	0.0000		0.0000	Y	N
Node143	276	0.0000	0.0000		0.0000	Y	N
suffrutico	277	0.0000	0.0000		0.0000	Y	N
Node42	278	0.0000	0.0000		0.0000	Y	N
Node40	279	0.0000	0.0124		0.0000	Y	N
Node39	280	0.0000	0.0197		0.0000	Y	N
sundingii	281	0.0000	0.0000		0.0000	Y	N
Node63	282	0.0000	0.0045		0.0000	Y	N
Node62	283	0.0000	0.0090		0.0000	Y	N
Node54	284	2.1960	1.1730	M288I,A307S	0.0065	Y	N
Node49	285	0.0002	0.0770		0.0000	Y	N
supinum	286	0.0000	0.0000		0.0000	Y	N
sventenii	287	0.0000	0.0000		0.0000	Y	N
Node82	288	0.0000	0.0000		0.0000	Y	N
Node81	289	0.0000	0.0000		0.0000	Y	N
tabernense	290	0.0000	0.0000		0.0000	Y	N
Node122	291	0.0000	0.0000		0.0000	Y	N
tenellum	292	0.0000	0.0000		0.0000	Y	N
Node71	293	0.0000	0.0000		0.0000	Y	N
tetragonum	294	0.0000	0.0000		0.0000	Y	N
Node70	295	0.0000	0.0000		0.0000	Y	N
Node69	296	0.0000	0.0000		0.0000	Y	N
thiniense	297	0.0000	0.0000		0.0000	Y	N
Node126	298	0.0000	0.0000		0.0000	Y	N
Node125	299	0.0000	0.0000		0.0000	Y	N
Node124	300	0.0000	0.0000		0.0000	Y	N
toletanum	301	1.0000	0.0000		0.0025	Y	N
Node159	302	0.0000	0.0000		0.0000	Y	N
tomentellu	303	0.0000	0.0000		0.0000	Y	N
Node23	304	0.0000	0.0000		0.0000	Y	N
Node22	305	0.0000	0.0000		0.0000	Y	N
Node21	306	0.0000	0.0000		0.0000	Y	N
tournefort	307	0.0000	0.0000		0.0000	Y	N
Node158	308	0.0000	0.0000		0.0000	Y	N
Node157	309	1.0000	0.0000		0.0026	Y	N
tuberculat	310	0.0000	0.0000		0.0000	Y	N
Node97	311	0.0000	0.0000		0.0000	Y	N
Node96	312	4.0336	0.9892	T22S	0.0074	Y	N
tunetanum	313	0.0000	0.0000		0.0000	Y	N
Node123	314	0.0000	0.0000		0.0000	Y	N
ursifolium	315	0.0000	0.0000		0.0000	Y	N
Node156	316	0.0000	0.0000		0.0000	Y	N
Node155	317	0.0000	0.0000		0.0000	Y	N
Node154	318	0.0000	0.0008		0.0000	Y	N
vigaroense	319	0.0000	2.0000	F76Y,S255A	0.0036	Y	N
Node80	320	0.0000	0.0000		0.0000	Y	N
Node79	321	0.0000	0.0000		0.0000	Y	N
Node78	322	0.0000	0.0000		0.0000	Y	N
Node77	323	0.0000	0.0000		0.0000	Y	N
Node76	324	0.0000	0.0000		0.0413	Y	N
virgatum	325	0.0000	0.9992	G224A	0.0000	Y	N
Node163	326	0.0000	0.0016		0.0000	Y	N
Node162	327	0.0000	0.0016		0.0000	Y	N
Node161	328	0.0000	0.0016		0.0000	Y	N
Node160	329	0.0000	0.0016		0.0000	Y	N
Node153	330	0.0000	0.9992	A224G	0.0000	Y	N
Node5	331	0.0000	0.0000		0.0000	Y	N
Node6	332	0.0000	0.0000		0.0000	Y	N
Node7	333	0.0000	0.0000		0.0000	Y	N
Node8	334	0.0000	0.0000		0.0000	Y	N
Node9	335	0.0000	0.0000		0.0000	Y	N
Node10	336	1.0000	1.0001	N74S	0.0000	Y	N
Node11	337	0.0000	0.9999	G224A	0.0000	Y	N
vulgare	338	0.0000	0.0000		0.0000	Y	N
Node32	339	0.0000	0.0000		0.0000	Y	N
Node27	340	0.0000	0.0000		0.0000	Y	N
Node26	341	0.0000	0.0000		0.0000	Y	N
Node25	342	1.0000	0.0000		0.0027	Y	N
Node20	343	0.0000	1.0007	N74S	0.0000	Y	N
Node19	344	0.0000	0.9862	S377A	0.0000	Y	N
Node18	345	2.9999	2.0929	H261Y,Y332F	0.0113	Y	N
Node17	346	0.0002	0.1440		0.0000	Y	N
wrightii	347	1.0000	0.0000		0.0027	Y	N
Node68	348	0.0000	0.0000		0.0000	Y	N
Node67	349	0.0077	0.0000		0.0000	Y	N
Node66	350	3.9925	1.4922	V168C	0.0153	Y	N
Node65	351	4.1162	0.9460		0.0123	Y	N
Node64	352	0.0003	0.0767		0.0000	Y	N
Node48	353	0.0002	0.1410		0.0000	Y	N
Node16	354	1.0671	0.2216		0.0031	Y	N
xiliense	355	8.1077	2.0142	T22S,E319D	0.0224	Y	N
Node116	356	0.1199	0.0145		0.0000	Y	N
Node103	357	0.0155	0.0003		0.0000	Y	N
Node102	358	0.0000	0.0000		0.0000	Y	N
Node101	359	0.0000	0.0000		0.0000	Y	N
Node100	360	0.0000	0.0000		0.0000	Y	N
Node12	361	0.0002	0.2818		0.0000	Y	N
Node13	362	3.9841	0.7404	D319E	0.0069	Y	N
Node14	363	1.0651	0.1787		0.0030	Y	N
Node15	364	0.1280	0.2698		0.0000	Y	N
Node75	365	0.0000	0.0000		0.0163	Y	N
Root	366	0.0000	0.0000		0.0000	Y	N
