NSSitesModel,Site,w,SE,PosteriorProb
2,315,0.053,0.056,NA
2,316,0.05,0.017,NA
2,317,0.051,0.026,NA
2,318,0.05,0.009,NA
2,319,0.053,0.056,NA
2,320,1,0.041,NA
2,321,0.05,0.012,NA
2,322,0.05,0.013,NA
2,323,0.057,0.08,NA
2,324,0.05,0.008,NA
2,325,0.051,0.022,NA
2,326,0.053,0.055,NA
2,327,0.05,0.007,NA
2,328,0.053,0.056,NA
2,329,0.05,0.021,NA
2,330,0.067,0.128,NA
2,331,0.05,0.009,NA
2,332,0.05,0.007,NA
2,333,0.051,0.026,NA
2,334,0.05,0.009,NA
2,335,0.05,0.012,NA
2,336,0.953,0.206,NA
2,337,0.05,0.007,NA
2,338,0.051,0.023,NA
2,339,0.052,0.043,NA
2,340,0.062,0.108,NA
2,341,0.05,0.008,NA
2,342,0.998,0.044,NA
2,343,0.05,0.021,NA
2,344,0.051,0.022,NA
2,345,0.05,0.014,NA
2,346,0.052,0.046,NA
2,347,0.05,0.007,NA
2,348,0.056,0.077,NA
2,349,0.05,0.012,NA
2,350,0.051,0.023,NA
2,351,0.05,0.01,NA
2,352,0.053,0.052,NA
2,353,0.05,0.008,NA
2,354,0.05,0.012,NA
2,355,5.813,0.983,0.985
2,356,0.051,0.027,NA
2,357,0.05,0.012,NA
2,358,0.051,0.037,NA
2,359,0.053,0.056,NA
2,360,0.051,0.026,NA
2,361,0.05,0.008,NA
2,362,0.05,0.011,NA
2,363,0.06,0.098,NA
2,364,0.05,0.01,NA
2,365,0.056,0.077,NA
2,366,0.051,0.022,NA
2,367,0.05,0.01,NA
2,368,0.051,0.022,NA
2,369,0.05,0.009,NA
2,370,0.053,0.055,NA
2,371,0.05,0.013,NA
2,372,0.05,0.009,NA
2,373,0.05,0.011,NA
2,374,0.051,0.023,NA
2,375,0.051,0.028,NA
2,376,0.05,0.009,NA
2,377,0.05,0.007,NA
2,378,0.051,0.027,NA
2,379,0.998,0.042,NA
2,380,0.053,0.056,NA
2,381,0.054,0.065,NA
2,382,0.051,0.023,NA
2,383,0.05,0.009,NA
2,384,0.05,0.022,NA
2,385,0.05,0.012,NA
2,386,0.05,0.014,NA
2,387,0.056,0.073,NA
2,388,0.05,0.012,NA
2,389,0.05,0.018,NA
2,390,0.051,0.022,NA
2,391,0.056,0.077,NA
2,392,0.05,0.012,NA
2,393,0.05,0.007,NA
2,394,0.05,0.012,NA
2,395,0.051,0.028,NA
2,396,0.05,0.008,NA
2,397,1.039,0.396,NA
2,398,0.053,0.056,NA
2,399,0.05,0.011,NA
2,400,0.05,0.01,NA
2,401,0.053,0.056,NA
2,402,0.053,0.055,NA
2,403,0.05,0.012,NA
2,404,5.735,1.151,0.969
2,405,0.05,0.01,NA
2,406,0.05,0.008,NA
2,407,0.051,0.031,NA
2,408,0.05,0.015,NA
2,409,0.055,0.07,NA
2,410,0.05,0.01,NA
2,411,0.051,0.032,NA
2,412,0.054,0.058,NA
2,413,0.063,0.112,NA
2,414,0.05,0.011,NA
2,415,0.051,0.035,NA
2,416,0.05,0.013,NA
2,417,0.051,0.033,NA
2,418,0.056,0.073,NA
8,1,0.072,0.085,NA
8,2,0.076,0.096,NA
8,3,0.244,0.214,NA
8,4,0.063,0.058,NA
8,5,0.117,0.142,NA
8,6,0.094,0.109,NA
8,7,0.063,0.058,NA
8,8,0.19,0.182,NA
8,9,0.115,0.14,NA
8,10,0.819,0.726,NA
8,11,0.059,0.045,NA
8,12,0.058,0.041,NA
8,13,0.057,0.036,NA
8,14,0.059,0.045,NA
8,15,0.057,0.036,NA
8,16,0.058,0.043,NA
8,17,0.156,0.193,NA
8,18,0.059,0.044,NA
8,19,0.058,0.042,NA
8,20,0.432,0.227,NA
8,21,0.062,0.055,NA
8,22,0.087,0.097,NA
8,23,0.059,0.045,NA
8,24,0.063,0.059,NA
8,25,0.068,0.072,NA
8,26,0.063,0.058,NA
8,27,0.059,0.044,NA
8,28,0.091,0.104,NA
8,29,0.068,0.074,NA
8,30,0.057,0.038,NA
8,31,0.061,0.053,NA
8,32,0.058,0.04,NA
8,33,0.058,0.042,NA
8,34,0.059,0.044,NA
8,35,0.057,0.038,NA
8,36,0.062,0.054,NA
8,37,0.059,0.044,NA
8,38,0.057,0.038,NA
8,39,0.063,0.059,NA
8,40,0.058,0.04,NA
8,41,0.063,0.058,NA
8,42,0.063,0.058,NA
8,43,0.064,0.06,NA
8,44,0.057,0.038,NA
8,45,0.12,0.147,NA
8,46,0.188,0.27,NA
8,47,0.059,0.045,NA
8,48,0.058,0.041,NA
8,49,0.059,0.044,NA
8,50,0.075,0.092,NA
8,51,0.059,0.045,NA
8,52,0.057,0.036,NA
8,53,0.063,0.057,NA
8,54,0.08,0.122,NA
8,55,0.059,0.045,NA
8,56,0.058,0.04,NA
8,57,0.062,0.053,NA
8,58,0.057,0.039,NA
8,59,0.062,0.055,NA
8,60,0.063,0.057,NA
8,61,0.062,0.054,NA
8,62,0.058,0.042,NA
8,63,0.07,0.078,NA
8,64,0.063,0.058,NA
8,65,0.063,0.057,NA
8,66,0.057,0.039,NA
8,67,0.089,0.101,NA
8,68,0.058,0.042,NA
8,69,0.063,0.058,NA
8,70,0.059,0.043,NA
8,71,0.057,0.038,NA
8,72,0.061,0.052,NA
8,73,0.061,0.052,NA
8,74,0.059,0.044,NA
8,75,0.058,0.04,NA
8,76,0.072,0.085,NA
8,77,0.061,0.052,NA
8,78,0.058,0.042,NA
8,79,0.062,0.056,NA
8,80,0.061,0.052,NA
8,81,0.059,0.044,NA
8,82,0.057,0.038,NA
8,83,0.061,0.053,NA
8,84,0.062,0.054,NA
8,85,0.074,0.089,NA
8,86,0.057,0.036,NA
8,87,0.07,0.078,NA
8,88,0.062,0.053,NA
8,89,0.058,0.04,NA
8,90,0.058,0.04,NA
8,91,0.057,0.038,NA
8,92,0.062,0.055,NA
8,93,0.059,0.043,NA
8,94,0.059,0.045,NA
8,95,0.087,0.098,NA
8,96,4.943,0.667,1.000
8,97,0.703,0.466,NA
8,98,0.059,0.045,NA
8,99,0.062,0.054,NA
8,100,0.057,0.038,NA
8,101,0.091,0.104,NA
8,102,0.057,0.038,NA
8,103,0.057,0.036,NA
8,104,0.058,0.041,NA
8,105,0.742,0.479,NA
8,106,0.059,0.043,NA
8,107,0.102,0.121,NA
8,108,0.062,0.055,NA
8,109,0.057,0.038,NA
8,110,0.07,0.077,NA
8,111,0.063,0.059,NA
8,112,0.057,0.038,NA
8,113,0.158,0.197,NA
8,114,0.063,0.058,NA
8,115,0.074,0.092,NA
8,116,0.058,0.04,NA
8,117,0.058,0.039,NA
8,118,0.062,0.054,NA
8,119,0.155,0.191,NA
8,120,0.058,0.039,NA
8,121,0.063,0.057,NA
8,122,0.063,0.057,NA
8,123,0.057,0.039,NA
8,124,0.061,0.052,NA
8,125,0.062,0.054,NA
8,126,0.058,0.041,NA
8,127,0.058,0.04,NA
8,128,0.062,0.054,NA
8,129,0.356,0.214,NA
8,130,0.091,0.105,NA
8,131,0.068,0.073,NA
8,132,0.062,0.054,NA
8,133,0.06,0.05,NA
8,134,0.057,0.038,NA
8,135,0.057,0.038,NA
8,136,0.072,0.085,NA
8,137,0.058,0.043,NA
8,138,0.058,0.04,NA
8,139,0.064,0.06,NA
8,140,0.057,0.036,NA
8,141,0.058,0.041,NA
8,142,0.07,0.077,NA
8,143,0.058,0.04,NA
8,144,0.058,0.041,NA
8,145,0.061,0.053,NA
8,146,0.059,0.043,NA
8,147,0.062,0.054,NA
8,148,0.062,0.055,NA
8,149,0.07,0.078,NA
8,150,0.074,0.09,NA
8,151,0.059,0.043,NA
8,152,0.062,0.053,NA
8,153,0.059,0.045,NA
8,154,0.058,0.042,NA
8,155,0.062,0.055,NA
8,156,0.063,0.058,NA
8,157,0.058,0.041,NA
8,158,0.07,0.079,NA
8,159,0.057,0.038,NA
8,160,0.075,0.097,NA
8,161,0.062,0.053,NA
8,162,0.057,0.038,NA
8,163,0.061,0.053,NA
8,164,0.079,0.083,NA
8,165,0.061,0.051,NA
8,166,0.057,0.037,NA
8,167,0.059,0.045,NA
8,168,0.058,0.041,NA
8,169,0.058,0.041,NA
8,170,0.062,0.055,NA
8,171,0.057,0.039,NA
8,172,0.063,0.057,NA
8,173,0.109,0.132,NA
8,174,0.063,0.056,NA
8,175,0.086,0.096,NA
8,176,0.058,0.042,NA
8,177,0.061,0.051,NA
8,178,0.056,0.035,NA
8,179,0.062,0.053,NA
8,180,0.094,0.11,NA
8,181,0.058,0.04,NA
8,182,0.056,0.035,NA
8,183,0.056,0.035,NA
8,184,0.057,0.039,NA
8,185,0.057,0.036,NA
8,186,0.063,0.058,NA
8,187,0.079,0.083,NA
8,188,0.063,0.057,NA
8,189,0.237,0.333,NA
8,190,0.282,0.232,NA
8,191,0.108,0.13,NA
8,192,0.086,0.095,NA
8,193,0.266,0.224,NA
8,194,0.187,0.266,NA
8,195,0.406,0.223,NA
8,196,0.179,0.175,NA
8,197,0.064,0.061,NA
8,198,0.13,0.158,NA
8,199,0.074,0.091,NA
8,200,0.134,0.163,NA
8,201,0.119,0.145,NA
8,202,0.256,0.219,NA
8,203,0.24,0.21,NA
8,204,0.083,0.091,NA
8,205,0.106,0.127,NA
8,206,0.108,0.13,NA
8,207,0.373,0.218,NA
8,208,0.472,0.237,NA
8,209,0.448,0.523,NA
8,210,0.182,0.177,NA
8,211,0.098,0.115,NA
8,212,0.064,0.061,NA
8,213,0.062,0.055,NA
8,214,0.187,0.18,NA
8,215,0.499,0.206,NA
8,216,0.27,0.226,NA
8,217,0.062,0.056,NA
8,218,0.06,0.048,NA
8,219,0.062,0.056,NA
8,220,0.153,0.188,NA
8,221,0.079,0.084,NA
8,222,0.057,0.037,NA
8,223,0.058,0.04,NA
8,224,0.058,0.042,NA
8,225,0.057,0.037,NA
8,226,0.063,0.058,NA
8,227,0.061,0.052,NA
8,228,0.057,0.039,NA
8,229,0.085,0.094,NA
8,230,0.058,0.04,NA
8,231,2.574,1.891,NA
8,232,0.061,0.053,NA
8,233,0.059,0.045,NA
8,234,0.057,0.037,NA
8,235,0.178,0.174,NA
8,236,0.061,0.053,NA
8,237,0.057,0.037,NA
8,238,0.059,0.045,NA
8,239,0.246,0.215,NA
8,240,0.073,0.088,NA
8,241,0.057,0.037,NA
8,242,4.943,0.667,1.000
8,243,0.063,0.057,NA
8,244,0.057,0.038,NA
8,245,4.919,0.711,0.996
8,246,0.058,0.04,NA
8,247,0.06,0.048,NA
8,248,0.057,0.038,NA
8,249,0.062,0.056,NA
8,250,0.075,0.095,NA
8,251,0.059,0.043,NA
8,252,0.059,0.044,NA
8,253,0.063,0.057,NA
8,254,0.06,0.049,NA
8,255,0.059,0.044,NA
8,256,0.058,0.042,NA
8,257,0.057,0.036,NA
8,258,0.059,0.044,NA
8,259,0.059,0.043,NA
8,260,0.069,0.077,NA
8,261,0.057,0.038,NA
8,262,4.943,0.667,1.000
8,263,0.062,0.056,NA
8,264,0.063,0.057,NA
8,265,0.059,0.045,NA
8,266,0.057,0.038,NA
8,267,0.057,0.036,NA
8,268,0.062,0.056,NA
8,269,0.074,0.092,NA
8,270,0.104,0.125,NA
8,271,0.061,0.052,NA
8,272,0.06,0.049,NA
8,273,0.082,0.089,NA
8,274,0.061,0.053,NA
8,275,0.062,0.055,NA
8,276,0.063,0.057,NA
8,277,0.058,0.04,NA
8,278,0.06,0.048,NA
8,279,0.057,0.039,NA
8,280,0.063,0.057,NA
8,281,0.203,0.191,NA
8,282,0.056,0.035,NA
8,283,0.059,0.045,NA
8,284,0.141,0.172,NA
8,285,0.069,0.077,NA
8,286,0.057,0.036,NA
8,287,0.061,0.053,NA
8,288,0.057,0.037,NA
8,289,4.273,1.442,0.865
8,290,0.06,0.048,NA
8,291,0.061,0.05,NA
8,292,0.062,0.054,NA
8,293,0.058,0.043,NA
8,294,0.073,0.087,NA
8,295,0.058,0.041,NA
8,296,0.058,0.04,NA
8,297,0.058,0.042,NA
8,298,0.07,0.077,NA
8,299,0.063,0.058,NA
8,300,0.058,0.04,NA
8,301,0.063,0.057,NA
8,302,0.057,0.037,NA
8,303,0.059,0.043,NA
8,304,0.056,0.035,NA
8,305,0.06,0.048,NA
8,306,0.736,0.256,NA
8,307,0.061,0.052,NA
8,308,0.057,0.037,NA
8,309,0.058,0.043,NA
8,310,0.085,0.094,NA
8,311,0.059,0.044,NA
8,312,0.059,0.043,NA
8,313,0.058,0.041,NA
8,314,0.058,0.04,NA
8,315,0.069,0.077,NA
8,316,0.06,0.048,NA
8,317,0.062,0.055,NA
8,318,0.057,0.039,NA
8,319,0.069,0.077,NA
8,320,0.75,0.315,NA
8,321,0.058,0.042,NA
8,322,0.059,0.044,NA
8,323,0.075,0.093,NA
8,324,0.057,0.037,NA
8,325,0.061,0.053,NA
8,326,0.089,0.101,NA
8,327,0.056,0.035,NA
8,328,0.069,0.077,NA
8,329,0.061,0.052,NA
8,330,0.117,0.142,NA
8,331,0.057,0.038,NA
8,332,0.056,0.035,NA
8,333,0.062,0.056,NA
8,334,0.057,0.039,NA
8,335,0.058,0.042,NA
8,336,0.494,0.206,NA
8,337,0.056,0.035,NA
8,338,0.062,0.053,NA
8,339,0.085,0.093,NA
8,340,0.11,0.133,NA
8,341,0.057,0.037,NA
8,342,0.586,0.196,NA
8,343,0.061,0.051,NA
8,344,0.061,0.053,NA
8,345,0.059,0.044,NA
8,346,0.067,0.07,NA
8,347,0.056,0.035,NA
8,348,0.074,0.091,NA
8,349,0.058,0.043,NA
8,350,0.062,0.053,NA
8,351,0.058,0.04,NA
8,352,0.069,0.074,NA
8,353,0.057,0.037,NA
8,354,0.058,0.043,NA
8,355,4.942,0.669,1.000
8,356,0.063,0.057,NA
8,357,0.058,0.043,NA
8,358,0.082,0.088,NA
8,359,0.069,0.077,NA
8,360,0.062,0.055,NA
8,361,0.057,0.037,NA
8,362,0.058,0.041,NA
8,363,0.106,0.128,NA
8,364,0.058,0.04,NA
8,365,0.074,0.091,NA
8,366,0.061,0.053,NA
8,367,0.058,0.04,NA
8,368,0.061,0.052,NA
8,369,0.057,0.038,NA
8,370,0.069,0.076,NA
8,371,0.059,0.044,NA
8,372,0.057,0.039,NA
8,373,0.058,0.042,NA
8,374,0.061,0.053,NA
8,375,0.063,0.058,NA
8,376,0.057,0.038,NA
8,377,0.057,0.036,NA
8,378,0.063,0.057,NA
8,379,0.592,0.199,NA
8,380,0.069,0.077,NA
8,381,0.071,0.083,NA
8,382,0.061,0.053,NA
8,383,0.057,0.038,NA
8,384,0.061,0.052,NA
8,385,0.058,0.043,NA
8,386,0.059,0.045,NA
8,387,0.073,0.088,NA
8,388,0.058,0.043,NA
8,389,0.06,0.048,NA
8,390,0.061,0.053,NA
8,391,0.074,0.091,NA
8,392,0.058,0.043,NA
8,393,0.057,0.036,NA
8,394,0.058,0.042,NA
8,395,0.063,0.057,NA
8,396,0.057,0.037,NA
8,397,1.217,1.313,NA
8,398,0.089,0.102,NA
8,399,0.058,0.041,NA
8,400,0.057,0.039,NA
8,401,0.069,0.077,NA
8,402,0.089,0.101,NA
8,403,0.058,0.042,NA
8,404,4.937,0.684,0.999
8,405,0.058,0.04,NA
8,406,0.057,0.037,NA
8,407,0.064,0.06,NA
8,408,0.059,0.045,NA
8,409,0.073,0.086,NA
8,410,0.058,0.04,NA
8,411,0.064,0.06,NA
8,412,0.09,0.103,NA
8,413,0.111,0.134,NA
8,414,0.058,0.041,NA
8,415,0.065,0.063,NA
8,416,0.058,0.043,NA
8,417,0.064,0.061,NA
8,418,0.096,0.112,NA
